Index,US,CA,GB,DE,FR,IT,AU,JP,IN
2004/01/01,4,7,-17.5,22.5,-12.5,0,12.5,-1,0
2004/02/01,14,31,-20,65,-12.5,-100,-22.5,5,0
2004/03/01,48,57,-22,30,-100,-100,-12.5,37.5,0
2004/04/01,26,36,-17.5,112,-10,-100,-40.5,51,6.5
2004/05/01,44,14,-30.5,106,-18.5,-100,-20,28,-17.5
2004/06/01,36,31,-32.5,59,-23,-100,-20,19,-100
2004/07/01,38,6.5,-17.5,88,-28,-100,-7.5,32,-32
2004/08/01,28,19,-13,69.5,-14.5,-100,1,38.5,-17
2004/09/01,38,69,4.5,115,-13.5,-19,6.5,29,-38
2004/10/01,54,27.5,7,94,-8.5,-25.5,12.5,40,-55.5
2004/11/01,56,47,-6,130,-25,-1.5,5,35.5,-100
2004/12/01,30,17,-17.5,101.5,-41.5,-1.5,14.5,24,-6.5
2005/01/01,46,20.5,-12,113.5,3,-5,13.5,17,-27.5
2005/02/01,38,58.5,0,136.5,-31.5,-30,28,12.5,-28.5
2005/03/01,48,53.5,-9,107.5,10.5,-27.5,20.5,37.5,-17
2005/04/01,58,24,-28,84.5,-30,-40,31,39.5,9.5
2005/05/01,40,41.5,-23,104.5,-46,-25.5,17,36.5,-35.5
2005/06/01,32,58.5,-24.5,51.5,-42,-47,18,20,-30.5
2005/07/01,30,40,-31.5,58,-45,-18.5,29,16,-20
2005/08/01,46,48,-15.5,100,-23,-100,35,24,-39.5
2005/09/01,64,84.5,7.5,129,-17,-53.5,58.5,20.5,-33
2005/10/01,56,45,1,156,-20.5,-30,43.5,37.5,13
2005/11/01,46,34.5,-10.5,36,-34,-34.5,23,50,-20.5
2005/12/01,18,41.5,-33,30,-47.5,-52.5,26.5,5.5,-11.5
2006/01/01,30,31,-9,46.5,-48,-30.5,60.5,19,-13
2006/02/01,30,17,-14.5,74.5,-39.5,-47.5,8.5,30.5,-33
2006/03/01,28,22.5,-22.5,83.5,-41.5,-41.5,23,28.5,-10.5
2006/04/01,34,6.5,-27.5,72.5,-43.5,-56,24,31.5,-21
2006/05/01,26,20.5,-32,36,-36.5,-49,24.5,10.5,-8.5
2006/06/01,32,12.5,-40.5,36,-52,-52,1,21.5,-26.5
2006/07/01,22,22.5,-26.5,53,-39.5,-49,18,15,-36.5
2006/08/01,26,15.5,-28.5,95.5,-50,-56.5,11,16.5,-38.5
2006/09/01,26,38,-12,95.5,-48,-61.5,3.5,26.5,-21
2006/10/01,32,52,-10.5,127,-39.5,-51.5,22.5,26,-19
2006/11/01,32,21,-11.5,51.5,-36,-49,7,24,-23.5
2006/12/01,16,19,-30.5,46.5,-54,-58,10.5,30,-33
2007/01/01,22,31,-2.5,66.5,-46,-57.5,35.5,14.5,-41.5
2007/02/01,14,19,-11.5,16.5,-62.5,-45,18,13.5,-53
2007/03/01,26,34.5,-21.5,85,-51,-52,20.5,22,-43.5
2007/04/01,12,6.5,-23,54.5,-53.5,-58.5,11.5,33.5,-19.5
2007/05/01,18,37.5,-24.5,24,-66,-62.5,5.5,9.5,-20.5
2007/06/01,16,31,-23.5,45.5,-59,-50.5,2,11,-45.5
2007/07/01,20,41.5,-25.5,24,-58,-55,6.5,15.5,-47.5
2007/08/01,26,50,-20,58,-57.5,-64,-5,28,-43.5
2007/09/01,22,33,-20.5,69.5,-49,-54,10.5,-2,-54.5
2007/10/01,34,32.5,-19.5,73,-58.5,-59.5,0.5,22,-36.5
2007/11/01,20,58.5,-24,58,-63.5,-66.5,7,29.5,-49
2007/12/01,6,39.5,-39.5,34.5,-56,-58,0,14.5,-48
2008/01/01,22,17.5,-16.5,64,-61,-65,7.5,17,-53
2008/02/01,12,20.5,-25,28.5,-56,-71.5,3,44.5,-50
2008/03/01,18,41.5,-35.5,21,-45,-73.5,3,48,-43
2008/04/01,16,19,-34,44,-55,-68,8.5,36.5,-15
2008/05/01,12,15.5,-42.5,24,-60,-71.5,13,21.5,6.5
2008/06/01,20,34.5,-44,28.5,-53,-71.5,-2,17,-27.5
2008/07/01,14,29,-37,50,-53,-72.5,3,9,-45.5
2008/08/01,20,36.5,-21,48.5,-53,-64,-4,20.5,-44.5
2008/09/01,14,29.5,-38.5,25.5,-63.5,-68.5,1,21.5,-28.5
2008/10/01,18,21,-38,40.5,-53,-70,-6.5,22,-39.5
2008/11/01,26,22.5,-41.5,40.5,-56,-61.5,-6.5,32.5,-43.5
2008/12/01,0,8.5,-53,25.5,-56,-71,-11,14,-35
2009/01/01,4,12,-31,48,-65,-70,-3,15.5,-47
2009/02/01,10,3.5,-43,39,-62.5,-81.5,-10.5,12.5,-63
2009/03/01,4,34.5,-43,9,-57,-68.5,-12,8.5,-40.5
2009/04/01,0,3.5,-42.5,13.5,-53,-78.5,-9.5,18.5,-27.5
2009/05/01,8,10.5,-47.5,19.5,-62.5,-77.5,-10.5,1.5,-22.5
2009/06/01,10,8.5,-53,13.5,-57,-76,-20,5,-24.5
2009/07/01,10,8.5,-49,16.5,-62,-63,-12.5,-2,-47
2009/08/01,10,26,-42.5,25.5,-54,-77,-9.5,12.5,-49
2009/09/01,12,17,-43,34.5,-61.5,-82,1,13.5,-13
2009/10/01,12,17.5,-46.5,25.5,-55,-72,-4.5,17.5,-28.5
2009/11/01,10,17.5,-45.5,10.5,-63.5,-68,-5,18,-29.5
2009/12/01,6,17,-54,28.5,-64.5,-76,-19,8,-20
2010/01/01,6,31,-41,21,-61.5,-77,0,8.5,-42.5
2010/02/01,4,7,-52.5,18,-63.5,-73.5,-13,35,-43
2010/03/01,8,41.5,-47,48.5,-61,-72,-8.5,20,-10.5
2010/04/01,6,24,-55,22.5,-65.5,-74.5,-17,20.5,-9
2010/05/01,8,21,-57,18,-61.5,-82,-19,42.5,7.5
2010/06/01,6,36,-61.5,18,-59,-80,-5.5,38.5,-11.5
2010/07/01,24,36,-53,9,-60,-81,-20,9,-46
2010/08/01,12,65.5,-42.5,15,-59.5,-76.5,-16,10.5,-45.5
2010/09/01,10,34.5,-50.5,24,-60.5,-79,-10.5,17.5,-37
2010/10/01,10,41.5,-50,51.5,-61,-72,-17,7,-29
2010/11/01,16,32.5,-52,36.5,-63.5,-74,-15,13.5,-37.5
2010/12/01,4,20.5,-60.5,-4.5,-62.5,-76,-23.5,8.5,-45
2011/01/01,10,36,-45.5,21,-61.5,-71.5,-13,6.5,-56
2011/02/01,2,33,-47,42.5,-62.5,-73,-18,17,-49
