Week,Geo: United States
1/4/04,90
1/11/04,92
1/18/04,85
1/25/04,90
2/1/04,86
2/8/04,82
2/15/04,84
2/22/04,88
2/29/04,89
3/7/04,80
3/14/04,83
3/21/04,75
3/28/04,81
4/4/04,90
4/11/04,87
4/18/04,83
4/25/04,85
5/2/04,87
5/9/04,83
5/16/04,87
5/23/04,87
5/30/04,84
6/6/04,89
6/13/04,90
6/20/04,87
6/27/04,95
7/4/04,82
7/11/04,100
7/18/04,95
7/25/04,98
8/1/04,99
8/8/04,94
8/15/04,98
8/22/04,90
8/29/04,90
9/5/04,85
9/12/04,81
9/19/04,84
9/26/04,79
10/3/04,80
10/10/04,72
10/17/04,78
10/24/04,77
10/31/04,79
11/7/04,69
11/14/04,73
11/21/04,59
11/28/04,74
12/5/04,78
12/12/04,82
12/19/04,68
12/26/04,77
1/2/05,88
1/9/05,89
1/16/05,79
1/23/05,80
1/30/05,80
2/6/05,81
2/13/05,80
2/20/05,80
2/27/05,82
3/6/05,78
3/13/05,76
3/20/05,82
3/27/05,80
4/3/05,71
4/10/05,75
4/17/05,76
4/24/05,79
5/1/05,81
5/8/05,76
5/15/05,82
5/22/05,80
5/29/05,77
6/5/05,78
6/12/05,82
6/19/05,87
6/26/05,85
7/3/05,77
7/10/05,90
7/17/05,89
7/24/05,88
7/31/05,90
8/7/05,88
8/14/05,93
8/21/05,84
8/28/05,85
9/4/05,77
9/11/05,79
9/18/05,78
9/25/05,80
10/2/05,76
10/9/05,74
10/16/05,68
10/23/05,70
10/30/05,75
11/6/05,65
11/13/05,70
11/20/05,54
11/27/05,72
12/4/05,68
12/11/05,67
12/18/05,66
12/25/05,68
1/1/06,78
1/8/06,77
1/15/06,75
1/22/06,77
1/29/06,75
2/5/06,71
2/12/06,69
2/19/06,73
2/26/06,75
3/5/06,70
3/12/06,73
3/19/06,71
3/26/06,73
4/2/06,73
4/9/06,75
4/16/06,76
4/23/06,76
4/30/06,76
5/7/06,74
5/14/06,73
5/21/06,74
5/28/06,69
6/4/06,77
6/11/06,78
6/18/06,76
6/25/06,85
7/2/06,74
7/9/06,86
7/16/06,81
7/23/06,85
7/30/06,87
8/6/06,84
8/13/06,84
8/20/06,83
8/27/06,79
9/3/06,68
9/10/06,74
9/17/06,74
9/24/06,72
10/1/06,71
10/8/06,68
10/15/06,72
10/22/06,69
10/29/06,71
11/5/06,65
11/12/06,65
11/19/06,49
11/26/06,67
12/3/06,69
12/10/06,65
12/17/06,65
12/24/06,60
12/31/06,73
1/7/07,70
1/14/07,68
1/21/07,72
1/28/07,71
2/4/07,68
2/11/07,69
2/18/07,71
2/25/07,72
3/4/07,70
3/11/07,67
3/18/07,67
3/25/07,69
4/1/07,71
4/8/07,71
4/15/07,68
4/22/07,70
4/29/07,72
5/6/07,66
5/13/07,68
5/20/07,69
5/27/07,65
6/3/07,70
6/10/07,71
6/17/07,67
6/24/07,69
7/1/07,63
7/8/07,71
7/15/07,72
7/22/07,71
7/29/07,73
8/5/07,72
8/12/07,72
8/19/07,69
8/26/07,65
9/2/07,58
9/9/07,63
9/16/07,63
9/23/07,61
9/30/07,62
10/7/07,60
10/14/07,58
10/21/07,59
10/28/07,58
11/4/07,58
11/11/07,56
11/18/07,43
11/25/07,55
12/2/07,55
12/9/07,55
12/16/07,56
12/23/07,49
12/30/07,61
1/6/08,62
1/13/08,61
1/20/08,58
1/27/08,61
2/3/08,61
2/10/08,58
2/17/08,58
2/24/08,59
3/2/08,57
3/9/08,56
3/16/08,57
3/23/08,56
3/30/08,58
4/6/08,56
4/13/08,56
4/20/08,57
4/27/08,60
5/4/08,58
5/11/08,57
5/18/08,56
5/25/08,52
6/1/08,56
6/8/08,55
6/15/08,55
6/22/08,57
6/29/08,51
7/6/08,59
7/13/08,58
7/20/08,57
7/27/08,59
8/3/08,57
8/10/08,56
8/17/08,56
8/24/08,56
8/31/08,49
9/7/08,52
9/14/08,55
9/21/08,51
9/28/08,55
10/5/08,53
10/12/08,49
10/19/08,48
10/26/08,47
11/2/08,45
11/9/08,47
11/16/08,47
11/23/08,35
11/30/08,48
12/7/08,47
12/14/08,44
12/21/08,36
12/28/08,46
1/4/09,99
1/11/09,97
1/18/09,94
1/25/09,98
2/1/09,96
2/8/09,94
2/15/09,94
2/22/09,96
3/1/09,96
3/8/09,95
3/15/09,96
3/22/09,97
3/29/09,95
4/5/09,87
4/12/09,92
4/19/09,91
4/26/09,89
5/3/09,88
5/10/09,94
5/17/09,93
5/24/09,88
5/31/09,92
6/7/09,92
6/14/09,89
6/21/09,91
6/28/09,93
7/5/09,97
7/12/09,99
7/19/09,100
7/26/09,97
8/2/09,97
8/9/09,94
8/16/09,92
8/23/09,93
8/30/09,94
9/6/09,86
9/13/09,89
9/20/09,93
9/27/09,87
10/4/09,88
10/11/09,91
10/18/09,93
10/25/09,90
11/1/09,99
11/8/09,93
11/15/09,96
11/22/09,94
11/29/09,89
12/6/09,80
12/13/09,78
12/20/09,68
12/27/09,80
1/3/10,94
1/10/10,94
1/17/10,89
1/24/10,90
1/31/10,89
2/7/10,87
2/14/10,88
2/21/10,88
2/28/10,89
3/7/10,89
3/14/10,91
3/21/10,91
3/28/10,89
4/4/10,90
4/11/10,86
4/18/10,91
4/25/10,90
5/2/10,87
5/9/10,88
5/16/10,86
5/23/10,88
5/30/10,85
6/6/10,88
6/13/10,87
6/20/10,88
6/27/10,90
7/4/10,89
7/11/10,94
7/18/10,92
7/25/10,92
8/1/10,93
8/8/10,93
8/15/10,91
8/22/10,92
8/29/10,90
9/5/10,90
9/12/10,87
9/19/10,87
9/26/10,89
10/3/10,88
10/10/10,85
10/17/10,87
10/24/10,87
10/31/10,92
11/7/10,93
11/14/10,95
11/21/10,88
11/28/10,83
12/5/10,79
12/12/10,77
12/19/10,69
12/26/10,77
1/2/11,85
1/9/11,90
1/16/11,88
1/23/11,90
1/30/11,85
2/6/11,87
2/13/11,84
2/20/11,88
2/27/11,91
3/6/11,84
3/13/11,84
3/20/11,85
3/27/11,89
4/3/11,85
4/10/11,86
4/17/11,77
4/24/11,81
5/1/11,83
5/8/11,82
5/15/11,85
5/22/11,85
5/29/11,82
6/5/11,84
6/12/11,84
6/19/11,85
6/26/11,89
7/3/11,88
7/10/11,88
7/17/11,88
7/24/11,87
7/31/11,86
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,