Period,sales,suvs,insurance
1/1/04,61287,0,0
2/1/04,65381,-0.12,-0.01
3/1/04,78843,-0.05,-0.09
4/1/04,73422,-0.12,-0.08
5/1/04,77662,-0.07,-0.07
6/1/04,75516,-0.12,0.01
7/1/04,78991,-0.14,0.07
8/1/04,76521,-0.09,0.05
9/1/04,73711,-0.12,-0.07
10/1/04,68880,-0.14,-0.06
11/1/04,65341,-0.09,-0.2
12/1/04,72600,-0.15,-0.2
1/1/05,62064,-0.11,0
2/1/05,67086,-0.1,-0.17
3/1/05,80753,-0.09,-0.1
4/1/05,77802,-0.14,-0.13
5/1/05,78476,-0.15,-0.14
6/1/05,85534,-0.04,-0.08
7/1/05,87869,-0.07,-0.08
8/1/05,81390,-0.09,-0.03
9/1/05,69559,-0.17,-0.13
10/1/05,63740,-0.17,-0.17
11/1/05,64982,-0.2,-0.23
12/1/05,70796,-0.23,-0.29
1/1/06,65873,-0.15,-0.13
2/1/06,67594,-0.15,-0.19
3/1/06,82928,-0.12,-0.17
4/1/06,76335,-0.17,-0.16
5/1/06,81673,-0.14,-0.13
6/1/06,80744,-0.23,-0.14
7/1/06,81021,-0.13,-0.03
8/1/06,83127,-0.15,-0.02
9/1/06,73118,-0.18,-0.15
10/1/06,70482,-0.18,-0.13
11/1/06,67599,-0.19,-0.17
12/1/06,71160,-0.23,-0.23
1/1/07,66738,-0.12,-0.1
2/1/07,69536,-0.12,-0.13
3/1/07,84022,-0.11,-0.08
4/1/07,77418,-0.14,-0.12
5/1/07,85335,-0.18,-0.12
6/1/07,79976,-0.19,-0.07
7/1/07,79239,-0.15,-0.13
8/1/07,84791,-0.17,-0.12
9/1/07,73596,-0.16,-0.16
10/1/07,74568,-0.18,-0.19
11/1/07,67426,-0.19,-0.22
12/1/07,69142,-0.18,-0.3
1/1/08,65909,-0.17,-0.15
2/1/08,69153,-0.15,-0.21
3/1/08,76765,-0.16,-0.17
4/1/08,73937,-0.18,-0.21
5/1/08,76381,-0.22,-0.17
6/1/08,69660,-0.22,-0.13
7/1/08,69958,-0.22,-0.13
8/1/08,69951,-0.24,-0.14
9/1/08,60757,-0.24,-0.2
10/1/08,55321,-0.24,-0.2
11/1/08,48162,-0.26,-0.26
12/1/08,52734,-0.2,-0.27
1/1/09,50513,-0.17,-0.07
2/1/09,50498,-0.19,-0.12
3/1/09,57642,-0.19,-0.14
4/1/09,56464,-0.15,-0.2
5/1/09,58093,-0.21,-0.22
6/1/09,60093,-0.16,-0.17
7/1/09,62758,-0.15,-0.12
8/1/09,66739,-0.09,-0.12
9/1/09,52442,-0.22,-0.22
10/1/09,55226,-0.22,-0.24
11/1/09,50288,-0.24,-0.23
12/1/09,56045,-0.22,-0.31
1/1/10,50012,-0.19,-0.15
2/1/10,51998,-0.12,-0.23
3/1/10,67632,-0.11,-0.21
4/1/10,64547,-0.17,-0.22
5/1/10,65376,-0.19,-0.23
6/1/10,64836,-0.2,-0.21
7/1/10,67087,-0.21,-0.22
8/1/10,66085,-0.16,-0.14
9/1/10,61676,-0.19,-0.28
10/1/10,61429,-0.18,-0.23
11/1/10,58918,-0.2,-0.31
12/1/10,64672,-0.23,-0.31
1/1/11,58225,-0.08,-0.13
2/1/11,63178,-0.02,-0.19
3/1/11,75982,-0.03,-0.19
4/1/11,70364,-0.08,-0.2
5/1/11,70070,-0.16,-0.22
6/1/11,70747,-0.12,-0.16
7/1/11,69910,-0.1,-0.17