Week,Geo: Worldwide
1/4/04,92
1/11/04,94
1/18/04,91
1/25/04,93
2/1/04,90
2/8/04,88
2/15/04,88
2/22/04,92
2/29/04,90
3/7/04,82
3/14/04,92
3/21/04,95
3/28/04,92
4/4/04,96
4/11/04,91
4/18/04,86
4/25/04,91
5/2/04,89
5/9/04,94
5/16/04,94
5/23/04,91
5/30/04,90
6/6/04,94
6/13/04,91
6/20/04,95
6/27/04,94
7/4/04,96
7/11/04,92
7/18/04,98
7/25/04,98
8/1/04,99
8/8/04,95
8/15/04,95
8/22/04,97
8/29/04,85
9/5/04,93
9/12/04,100
9/19/04,98
9/26/04,93
10/3/04,88
10/10/04,91
10/17/04,92
10/24/04,90
10/31/04,87
11/7/04,87
11/14/04,88
11/21/04,86
11/28/04,84
12/5/04,87
12/12/04,83
12/19/04,85
12/26/04,89
1/2/05,92
1/9/05,93
1/16/05,94
1/23/05,93
1/30/05,92
2/6/05,94
2/13/05,94
2/20/05,90
2/27/05,93
3/6/05,88
3/13/05,90
3/20/05,95
3/27/05,93
4/3/05,89
4/10/05,89
4/17/05,93
4/24/05,85
5/1/05,89
5/8/05,87
5/15/05,90
5/22/05,91
5/29/05,89
6/5/05,93
6/12/05,94
6/19/05,91
6/26/05,89
7/3/05,92
7/10/05,97
7/17/05,93
7/24/05,98
7/31/05,93
8/7/05,93
8/14/05,95
8/21/05,91
8/28/05,91
9/4/05,88
9/11/05,89
9/18/05,87
9/25/05,90
10/2/05,89
10/9/05,86
10/16/05,86
10/23/05,85
10/30/05,83
11/6/05,80
11/13/05,84
11/20/05,86
11/27/05,89
12/4/05,83
12/11/05,84
12/18/05,84
12/25/05,82
1/1/06,86
1/8/06,88
1/15/06,92
1/22/06,92
1/29/06,93
2/5/06,93
2/12/06,91
2/19/06,90
2/26/06,91
3/5/06,88
3/12/06,91
3/19/06,88
3/26/06,91
4/2/06,93
4/9/06,92
4/16/06,89
4/23/06,91
4/30/06,88
5/7/06,93
5/14/06,93
5/21/06,90
5/28/06,87
6/4/06,85
6/11/06,86
6/18/06,89
6/25/06,89
7/2/06,89
7/9/06,89
7/16/06,91
7/23/06,92
7/30/06,93
8/6/06,95
8/13/06,92
8/20/06,94
8/27/06,93
9/3/06,89
9/10/06,94
9/17/06,89
9/24/06,91
10/1/06,88
10/8/06,87
10/15/06,91
10/22/06,86
10/29/06,89
11/5/06,89
11/12/06,84
11/19/06,87
11/26/06,84
12/3/06,87
12/10/06,83
12/17/06,83
12/24/06,85
12/31/06,85
1/7/07,89
1/14/07,91
1/21/07,90
1/28/07,92
2/4/07,88
2/11/07,91
2/18/07,94
2/25/07,91
3/4/07,91
3/11/07,89
3/18/07,93
3/25/07,93
4/1/07,89
4/8/07,91
4/15/07,90
4/22/07,92
4/29/07,86
5/6/07,90
5/13/07,90
5/20/07,90
5/27/07,91
6/3/07,89
6/10/07,95
6/17/07,88
6/24/07,92
7/1/07,91
7/8/07,91
7/15/07,94
7/22/07,95
7/29/07,94
8/5/07,94
8/12/07,94
8/19/07,99
8/26/07,93
9/2/07,91
9/9/07,93
9/16/07,91
9/23/07,93
9/30/07,93
10/7/07,88
10/14/07,89
10/21/07,87
10/28/07,86
11/4/07,87
11/11/07,88
11/18/07,88
11/25/07,86
12/2/07,83
12/9/07,83
12/16/07,84
12/23/07,85
12/30/07,88
1/6/08,96
1/13/08,93
1/20/08,91
1/27/08,91
2/3/08,90
2/10/08,91
2/17/08,93
2/24/08,89
3/2/08,94
3/9/08,87
3/16/08,88
3/23/08,92
3/30/08,88
4/6/08,90
4/13/08,91
4/20/08,90
4/27/08,87
5/4/08,85
5/11/08,89
5/18/08,88
5/25/08,84
6/1/08,87
6/8/08,85
6/15/08,86
6/22/08,83
6/29/08,84
7/6/08,87
7/13/08,88
7/20/08,87
7/27/08,84
8/3/08,85
8/10/08,88
8/17/08,88
8/24/08,85
8/31/08,87
9/7/08,83
9/14/08,85
9/21/08,88
9/28/08,84
10/5/08,85
10/12/08,85
10/19/08,85
10/26/08,82
11/2/08,80
11/9/08,82
11/16/08,83
11/23/08,84
11/30/08,84
12/7/08,84
12/14/08,83
12/21/08,83
12/28/08,82
1/4/09,90
1/11/09,94
1/18/09,91
1/25/09,92
2/1/09,94
2/8/09,91
2/15/09,94
2/22/09,95
3/1/09,91
3/8/09,95
3/15/09,95
3/22/09,96
3/29/09,94
4/5/09,92
4/12/09,92
4/19/09,92
4/26/09,91
5/3/09,88
5/10/09,92
5/17/09,89
5/24/09,93
5/31/09,91
6/7/09,91
6/14/09,90
6/21/09,90
6/28/09,91
7/5/09,92
7/12/09,96
7/19/09,96
7/26/09,100
8/2/09,97
8/9/09,97
8/16/09,99
8/23/09,94
8/30/09,96
9/6/09,95
9/13/09,96
9/20/09,97
9/27/09,94
10/4/09,92
10/11/09,93
10/18/09,93
10/25/09,91
11/1/09,91
11/8/09,91
11/15/09,91
11/22/09,89
11/29/09,89
12/6/09,89
12/13/09,88
12/20/09,89
12/27/09,91
1/3/10,93
1/10/10,95
1/17/10,96
1/24/10,97
1/31/10,96
2/7/10,95
2/14/10,96
2/21/10,98
2/28/10,96
3/7/10,97
3/14/10,97
3/21/10,97
3/28/10,94
4/4/10,95
4/11/10,92
4/18/10,94
4/25/10,95
5/2/10,93
5/9/10,93
5/16/10,94
5/23/10,94
5/30/10,93
6/6/10,92
6/13/10,89
6/20/10,91
6/27/10,90
7/4/10,91
7/11/10,93
7/18/10,97
7/25/10,98
8/1/10,96
8/8/10,100
8/15/10,99
8/22/10,98
8/29/10,95
9/5/10,97
9/12/10,96
9/19/10,99
9/26/10,94
10/3/10,95
10/10/10,93
10/17/10,92
10/24/10,91
10/31/10,92
11/7/10,92
11/14/10,91
11/21/10,91
11/28/10,91
12/5/10,91
12/12/10,91
12/19/10,89
12/26/10,91
1/2/11,92
1/9/11,96
1/16/11,96
1/23/11,94
1/30/11,95
2/6/11,98
2/13/11,98
2/20/11,95
2/27/11,94
3/6/11,93
3/13/11,90
3/20/11,92
3/27/11,94
4/3/11,89
4/10/11,94
4/17/11,91
4/24/11,90
5/1/11,89
5/8/11,90
5/15/11,91
5/22/11,93
5/29/11,90
6/5/11,91
6/12/11,93
6/19/11,92
6/26/11,93
7/3/11,92
7/10/11,94
7/17/11,97
7/24/11,96
7/31/11,95
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,